book_a;book_b;count
0440214041;0440213525;24
0842329242;0842329269;24
0312976275;0312980140;24
0440215625;0440212561;24
0786868716;0385484518;24
0156027321;0316666343;24
0842329269;0842329242;24
0451190491;0451190548;24
0440212561;0440215625;24
0385484518;0786868716;24
1400031354;1400031362;24
1400031354;1400034779;24
0451190548;0451190491;24
0515128554;0515126772;24
0671021001;0316666343;24
0440213525;0440214041;24
0553280341;0553279912;23
0440213525;044021145X;23
0515128546;0515126772;23
0515126772;0515128546;23
0345339681;0345339738;23
0553279556;0553284789;23
0877017883;0811801802;23
0553284789;0553279556;23
0440217563;0440215625;23
044021145X;0440213525;23
0451190491;0451190564;23
0811801802;0877017883;23
0440215625;0440217563;23
0345339738;0345339681;23
0451190564;0451190491;23
0671001795;0312976275;23
0312976275;0671001795;23
0553279912;0553280341;23
0449219364;0553284789;22
0553280368;0553280341;22
0446672211;0316601950;22
0385336179;0385335881;22
0316601950;0446672211;22
0553271636;0553280341;22
0345339681;0345339711;22
0345339711;0345339681;22
0449221482;0449221512;22
0385335881;0385336179;22
0553284789;0449219364;22
0451190564;0451190548;22
0385504209;0786868716;22
0553280341;0553280368;22
0451190548;0451190564;22
0786868716;0385504209;22
0449221512;0449221482;22
0553280341;0553271636;22
0842329250;0842329269;21
0553280341;0553284789;21
0425147622;0425154092;21
0064407667;0064407683;21
0786868716;0316666343;21
0060928336;0312195516;21
0064407683;0064407667;21
0446672211;0060928336;21
0060928336;0446672211;21
0449219461;0449219364;21
0553271636;0553279556;21
0842329250;0842329129;21
051513628X;0515136379;21
0425154092;0425147622;21
051513628X;0515136530;21
0553250531;0553250426;21
0515136530;051513628X;21
0842329269;0842329250;21
0449219364;0449219461;21
0451190521;0451190548;21
0312195516;0060928336;21
0842329129;0842329250;21
0451190548;0451190521;21
0553284789;0553280341;21
0446605484;0446611212;21
0316284955;0316666343;21
0553250426;0553250531;21
0553279556;0553271636;21
067976402X;0316666343;21
0446611212;0446605484;21
0515136379;051513628X;21
0451190521;0451190556;20
0451190556;0451190548;20
0446310786;0316769487;20
0451190556;0451190521;20
0440212561;0440217563;20
0060930535;0312195516;20
0441002935;0441000916;20
0439064864;059035342X;20
0449221512;0553284789;20
0553279556;0553280341;20
0679781587;0060930535;20
0312983867;0312980140;20
0679781587;0060928336;20
0553280341;0553279556;20
0452282152;0316666343;20
0679781587;0142001740;20
0316769487;0446310786;20
0316769487;0316666343;20
0060928336;0679781587;20
0312195516;0446672211;20
0553284789;0449221512;20
0142001740;0679781587;20
0385265700;0316666343;20
059035342X;0439064864;20
0440206154;0312924585;20
0446672211;0312195516;20
0060930535;0679781587;20
0312980140;0312983867;20
0440217563;0440212561;20
0451190548;0451190556;20
0312924585;0440206154;20
0312195516;0060930535;20
0441000916;0441002935;20
0345384466;034538475X;19
0449219364;0449221512;19
0316601950;0312195516;19
0449219364;0553280341;19
0449221512;0449219364;19
0060976845;0316666343;19
0440213525;0440220602;19
0441002935;0441004520;19
0743418174;0142001740;19
0842329269;0842329218;19
0451190491;0451190521;19
0842329218;0842329269;19
067976402X;0679781587;19
0451190491;0451190556;19
0142001740;0743418174;19
0440220602;0440213525;19
034540288X;0345370775;19
0553279556;0449221512;19
0375727345;0316666343;19
0312976275;0312983867;19
0553280341;0449219364;19
0312983867;0312976275;19
0345370775;034540288X;19
0142000205;0316666343;19
0441004520;0441002935;19
0425154092;0380718332;19
0679781587;067976402X;19
0380718332;0425154092;19
0451190564;0451190521;19
0451190521;0451190491;19
0449221512;0553279556;19
0451190521;0451190564;19
0451190556;0451190491;19
0312195516;0316601950;19
034538475X;0345384466;19
043935806X;0385504209;18
0439139600;0439064864;18
0452282152;0385504209;18
044021145X;0440224764;18
0449221512;0449219461;18
0440226430;0316666343;18
0375706771;0375727345;18
0345384466;0345337662;18
0312990456;0312966970;18
0385504209;0156027321;18
0385504209;043935806X;18
0842329277;0842329250;18
0142001740;0786868716;18
0449219364;0553279556;18
0786868716;0142001740;18
0156027321;0385504209;18
0743418174;0312195516;18
044022165X;0440214041;18
0451160525;0451163524;18
0425163407;0425154092;18
0156027321;0452282152;18
0553271636;0553284789;18
043935806X;0316666343;18
0345337662;0345384466;18
0441001971;0441003745;18
0451163524;0451160525;18
0440224764;044021145X;18
0064407675;0064407683;18
0451190564;0451190556;18
0553284789;0553271636;18
0064407683;0064407675;18
0441002935;0441003745;18
0441002935;0441001971;18
0441001971;0441002935;18
0515131229;0515128554;18
0515128554;0515131229;18
0385504209;0452282152;18
0375727345;0375706771;18
0439064864;0439139600;18
034538475X;0345409671;18
0451190556;0451190564;18
0553279556;0449219461;18
0345409671;034538475X;18
0553279556;0449219364;18
0452282152;0156027321;18
0312971346;0061009059;18
0375706771;0316666343;18
0312195516;0743418174;18
0312976275;0061009059;18
0316776963;0316666343;18
0451190572;0451190548;18
0553250531;0553289411;18
044022425X;0440215625;18
0312966970;0312990456;18
0441003745;0441002935;18
0061009059;0312976275;18
0375726403;0316666343;18
0061009059;0312971346;18
0449219461;0553279556;18
0425154092;0425163407;18
0449219461;0449221512;18
0842329250;0842329277;18
0553289411;0553250531;18
0440215625;044022425X;18
0441003745;0441001971;18
0451190548;0451190572;18
0440220602;0440214041;18
0440214041;0440220602;18
0440214041;044022165X;18
0842329129;0842329269;17
0553279556;0553280368;17
0446605239;0446608955;17
0440212561;044022425X;17
0312195516;0375726403;17
0842329218;0842329277;17
0440220602;0440211727;17
0446608955;0446605239;17
0375726403;0312195516;17
044021145X;0440221471;17
044022425X;0440212561;17
0060928336;0671021001;17
1400034779;1400031362;17
0877017883;0811802981;17
044023722X;0316666343;17
0440206154;0345370775;17
0441005241;0441002935;17
0440214041;0440221471;17
0440220602;044022165X;17
0553213148;0553213172;17
0440224764;0440220602;17
0451190572;0451190491;17
0440224675;0440206154;17
0671021001;0060928336;17
0312983867;0312966091;17
0312983867;0312971346;17
0451190491;0451190572;17
0515128546;0515132020;17
0060930535;0316666343;17
0440220602;0440224764;17
0842329242;0842332251;17
0743237188;0452282829;17
0452282829;0743237188;17
0312278586;0385335482;17
0515126772;0515132020;17
0441000916;0441001971;17
0345370775;0440206154;17
0345337662;0345409671;17
1400031362;1400034779;17
0345409671;0345337662;17
0842332251;0842329242;17
0515132020;0515128546;17
0451190572;0451190521;17
0446672211;014028009X;17
0842329277;0842329218;17
0515132020;0515126772;17
0553280368;0553279556;17
0743418174;0385335482;17
0451190521;0451190572;17
0449219364;0553271636;17
0312966091;0312983867;17
0441002935;0441005241;17
014028009X;0446672211;17
0553280368;0553279912;17
0312971346;0312983867;17
0440211727;0316666343;17
0553213172;0553213148;17
0449219461;0553284789;17
0385335482;0743418174;17
0671027387;0671027360;17
0553271636;0449219364;17
0811802981;0877017883;17
0440221471;044021145X;17
0440221471;0440214041;17
044022165X;0440220602;17
0385335482;0312278586;17
0440211727;0440220602;17
0553279912;0553280368;17
0440206154;0440224675;17
0553284789;0449219461;17
0671027360;0671027387;17
0060934417;0316666343;17
0842329269;0842329129;17
0441001971;0441000916;17
044021145X;067976402X;16
0385504209;0671003755;16
0441002935;0441005748;16
0452282152;0142001740;16
044021145X;0316666343;16
0060987529;0060987103;16
0375727345;0060928336;16
0060928336;0452282152;16
051512317X;0515121843;16
0440224764;0440236673;16
044022165X;0440221471;16
0449219461;0553271636;16
0671003755;0446672211;16
0553271636;0449221512;16
0553280368;0553271636;16
0441004520;0441001971;16
0439139597;0439136369;16
0446531332;0316666343;16
014025448X;0140254544;16
0671003755;0385504209;16
0440221471;044022165X;16
0553271636;0449219461;16
0316601950;0375727345;16
0446310786;0316666343;16
0515121843;051512317X;16
0142001740;0312195516;16
0425169863;0425154092;16
0439064872;0439139597;16
0385504209;0679781587;16
0375727345;067976402X;16
0553280341;0449221512;16
0312966970;0061009059;16
014028009X;0679781587;16
0060987103;0060987529;16
0842329218;0842332251;16
0440236673;0440224764;16
0316601950;0375706771;16
0312966970;0312983867;16
044021145X;044023722X;16
0312995423;0671027360;16
0451190572;0451190556;16
0553250531;0553280945;16
0452282829;0375727345;16
0440213525;0440221471;16
0312983867;0312966970;16
0449219461;0553280368;16
0375727345;0316601950;16
0451190572;0451190564;16
0439136369;0439139597;16
0375727345;0142000205;16
0441000916;0441004520;16
0345370775;0345337662;16
0441004520;0441000916;16
0971880107;0385504209;16
067976402X;0375727345;16
0786868716;0743418174;16
0842329129;0842332251;16
0811802981;0811801802;16
0385722206;0312195516;16
0679781587;014028009X;16
067976402X;044021145X;16
0142001740;0452282152;16
0312990456;0312966091;16
0312305060;0312195516;16
0060928336;0375727345;16
0553280368;0449219364;16
0553280368;0449219461;16
0743418174;0786868716;16
044023722X;044021145X;16
0345337662;0345370775;16
0553284789;0449221482;16
0811801802;0811802981;16
0449221482;0553284789;16
0312966091;0312990456;16
0345370775;0312924585;16
0385484518;0316666343;16
0312924585;0345370775;16
0440221471;0440213525;16
0804106304;0316666343;16
0451163524;0451173317;16
0140254544;014025448X;16
0441005748;0441002935;16
0385505833;0316666343;16
0439139597;0439064872;16
0679781587;0385504209;16
0449219364;0553280368;16
0842332251;0842329129;16
0679781587;0446672211;16
0142000205;0375727345;16
0842332251;0842329218;16
0446672211;0679781587;16
0553271636;0553280368;16
0451190556;0451190572;16
0449221512;0553271636;16
0449221512;0553280341;16
0061009059;0312966970;16
0671027360;0312995423;16
0452282152;0060928336;16
068484477X;0316666343;16
0375706771;0316601950;16
0375727345;0452282829;16
0451190564;0451190572;16
0425154092;0425169863;16
0451173317;0451163524;16
0441001971;0441004520;16
0446672211;0671003755;16
0553280945;0553250531;16
0441003745;0441005241;15
0842329277;0842329269;15
059035342X;0385504209;15
0142001740;1400034779;15
0446672211;0375707972;15
0449221482;0553279556;15
0440211727;0312924585;15
0446605484;0446610038;15
0440236673;044023722X;15
0316569321;0316666343;15
0553271636;0553279912;15
0064471063;0064471055;15
1400034779;0142001740;15
0515132020;0515128554;15
0553279556;0449221482;15
0451167317;0451156609;15
0671021001;0446672211;15
059035342X;044021145X;15
0441001971;0441304834;15
0842329285;0842332251;15
0312924585;0440211727;15
0312278586;0312195516;15
0441304834;0441001971;15
0312924585;0345313860;15
0441003745;0441004520;15
044023722X;0440236673;15
0446672211;0671021001;15
0316601950;0375707972;15
0064407691;0064407675;15
0971880107;0316666343;15
0515124214;051512317X;15
0842329269;0842329277;15
0515124214;0515121843;15
0375707972;0312195516;15
0440224764;0440214041;15
0515121843;0515124214;15
0446608955;0446672211;15
0316601950;0060930535;15
0452282152;0060930535;15
0441005241;0441003745;15
0312278586;0140293248;15
0553213164;0553213148;15
0446532231;0385504209;15
0515131229;0515128546;15
0553213180;0553213148;15
0060928336;0385504209;15
0345313860;0312924585;15
0842332251;0842329285;15
0440234743;0385504209;15
0439139600;0439136350;15
0553279556;0553279912;15
0156027321;0142001740;15
0440214041;0440224764;15
0439136350;0439139600;15
0440211727;044022165X;15
0446310786;0385504209;15
0385336179;0385335482;15
0375707972;0316666343;15
0375707972;0316601950;15
0553213148;0553213164;15
0060934417;0312195516;15
0743418174;0375727345;15
0060930535;0446672211;15
0515128546;0515131229;15
0553213148;0553213180;15
0064471055;0064471063;15
067976402X;0385504209;15
0743418174;0385504209;15
0375707972;0446672211;15
0553279912;0553271636;15
0060930535;0316601950;15
0060930535;0452282152;15
067976402X;0312195516;15
0140293248;0312278586;15
0425163407;0425147622;15
0553279912;0553279556;15
1558743669;1558745157;15
0515128554;0515132020;15
0671027360;0316666343;15
0385335482;0385336179;15
0439139600;0590353403;15
0441004520;0441003745;15
0590353403;0439139600;15
0446672211;0446608955;15
0375706771;0312195516;15
0064407667;0064407691;15
0375700757;0312195516;15
0345361792;0316666343;15
0440211727;0440224764;15
0375727345;0743418174;15
0446610038;0446605484;15
1558745157;1558743669;15
044022165X;0440211727;15
0804106304;080410753X;15
0440224764;0440211727;15
051512317X;0515124214;15
014028009X;0316666343;15
0064407675;0064407691;15
0142001740;0156027321;15
0425147622;0425163407;15
080410753X;0804106304;15
0446605239;0316666343;15
0451156609;0451167317;15
0064407691;0064407667;15
0375727345;0385504209;14
0345443284;0316666343;14
0679781587;0804106304;14
0312990456;0312971346;14
0316769487;0451524934;14
0070212570;0312195516;14
0385498721;0393319296;14
0064407683;0064407691;14
0451524934;0316769487;14
0312278586;0316096199;14
0441003745;0441000916;14
0345384466;0345313860;14
0393319296;0385498721;14
0316769487;0385504209;14
0380718340;0425147622;14
0064407667;043935806X;14
0142001740;1400031354;14
0345384466;0345397819;14
0671001795;0316666343;14
0345313860;0345384466;14
0553284789;0553280368;14
0312265867;0312265859;14
0553280368;0449221512;14
0842329285;0842329242;14
0345351525;0345409671;14
0449219364;0449221482;14
014028009X;0312195516;14
0151008116;0316666343;14
068484477X;0385265700;14
0312924585;0345337662;14
0449219461;0449221482;14
0553280368;0449221504;14
0385335482;0316666343;14
0060976845;0312195516;14
0375700757;0142001740;14
0380718340;0425169863;14
0345384466;0345404319;14
0380718340;0380718332;14
0842329277;0842329242;14
0440221471;0440234743;14
0060987529;0316666343;14
0552128481;0552124753;14
051512317X;0515128554;14
0345337662;0312924585;14
051513287X;0515126772;14
0743418174;0679781587;14
0441004520;0441005241;14
0552128481;0552131075;14
0552131059;0552128481;14
014028009X;0060928336;14
0312265859;0312265867;14
0140257934;014025448X;14
0552128481;0552131067;14
0552128481;0552131059;14
0451156609;0451172817;14
0385265700;068484477X;14
0345409671;0345313860;14
0425169863;0380718340;14
0441000916;0441003745;14
0440211727;0440221471;14
0440234743;0440221471;14
0446310786;044021145X;14
0671001795;0312195516;14
0385335881;0312278586;14
0440226430;0446672211;14
0345404319;0345397819;14
0804106304;0679781587;14
0345370775;0345353145;14
0345409671;0345351525;14
0425158616;0425154092;14
0345404319;0345384466;14
014025448X;0140257934;14
0440217563;044022425X;14
0515131229;0515126772;14
0446611212;0446610038;14
0345313860;0345409671;14
0425169863;0425147622;14
0060938455;0316666343;14
0440214041;0345370775;14
034538475X;0345397819;14
0064407691;0064407683;14
0374199698;0385504209;14
0451172817;0451156609;14
0060987103;0142001740;14
0452282829;0142000205;14
0552124753;0552128481;14
0380718332;0380718340;14
0060987103;0316666343;14
0375706771;0060930535;14
0425154092;0425158616;14
1558745157;0452281903;14
0312980140;0061009059;14
0316769487;043935806X;14
0425147622;0380718340;14
0553280368;0553284789;14
0312980140;0312265867;14
0425147622;0425169863;14
0440214041;0440236673;14
0452281903;1558745157;14
0345370775;0440214041;14
0515128554;051512317X;14
0441005241;0441004520;14
055321313X;0553213148;14
014028009X;0385504209;14
0316096199;0312278586;14
0312971346;0312990456;14
0060928336;014028009X;14
0446610038;0446612790;14
068484477X;0312195516;14
0375727345;0446672211;14
1400034779;0312195516;14
0441000916;0441304834;14
1400031354;0142001740;14
0440236673;0440214041;14
0552131075;0552128481;14
0449221504;0553280368;14
0449221482;0449219364;14
0446612790;0446610038;14
0060934417;0452282152;14
0061009059;0312980140;14
0441304834;0441000916;14
0440236673;0440241073;14
0312305060;0316666343;14
0345353145;0345370775;14
0446610038;0446611212;14
0440221471;0440211727;14
0552131067;0552128481;14
0671003755;0312195516;14
0345370775;0316666343;14
0440224675;0316666343;14
0446610038;0316666343;14
0312265867;0312980140;14
0515126772;051513287X;14
0345397819;0345404319;14
0060930535;0375706771;14
0842329242;0842329277;14
0449212602;0312195516;14
0345397819;034538475X;14
0312278586;0385335881;14
0786868716;0312195516;14
0553213148;055321313X;14
0515126772;0515131229;14
0452282829;0312195516;14
0842329242;0842329285;14
0345397819;0345384466;14
0375726403;0679781587;14
044022425X;0440217563;14
0452282152;0060934417;14
0449221512;0553280368;14
0060930535;0060928336;14
0440241073;0440236673;14
0061009059;0316666343;14
0449221482;0449219461;14
0743237188;0312195516;14
0142000205;0452282829;14
044023722X;0312195516;13
059035342X;0440211727;13
0618002227;0618002235;13
0446605239;0446606812;13
0842329218;084232920X;13
0140293248;0375706771;13
0142001430;0316666343;13
0743418174;0312278586;13
0312966970;0312265867;13
0842329218;0842329285;13
0440224764;0440221471;13
0385484518;0375706771;13
0312980140;0312983271;13
0440224764;0440234743;13
0440224764;0440225701;13
0440234743;0440224764;13
051513287X;0515128554;13
0553250426;0553289411;13
0380718340;0425154092;13
067976402X;0671510053;13
1400031346;1400031354;13
0380718340;0425163407;13
0312291639;0142001740;13
0449219461;0553279912;13
044023722X;0142001740;13
0804106304;080411109X;13
0553289411;0553250426;13
1400031354;1400031346;13
0446310786;0345342968;13
0345370775;0345380371;13
0345370775;0345378490;13
0618002235;0618002227;13
0553279912;0449219461;13
014028009X;0316601950;13
0140298479;014028009X;13
0345378490;0345370775;13
0440221471;0440225701;13
0345339681;059035342X;13
0440221471;0440236673;13
0553279912;0449221504;13
0684857820;0316666343;13
0375707972;0375706771;13
0804106304;059035342X;13
0345439104;0316601950;13
0449221482;0553280341;13
0439064872;0060928336;13
0440206154;0316666343;13
1573225789;0316666343;13
0375706771;0375707972;13
0441004520;0441304834;13
0142000205;0446672211;13
0425163407;0425169863;13
0446606812;0446605239;13
0743418174;0060928336;13
0425163407;0380718340;13
0312305060;0385722206;13
0446310786;067976402X;13
0316601950;0060976845;13
0671510053;067976402X;13
0451167317;0451184963;13
0385199570;0670835382;13
0312278586;0671003755;13
0140265686;0140254544;13
0440221471;0440224764;13
0312278586;0385504209;13
080411109X;0804106304;13
068484267X;0679781587;13
0842329242;084233226X;13
067976402X;014028009X;13
0440220602;0440225701;13
0316769487;0684801523;13
0842329250;0842332251;13
0385484518;0375727345;13
0345380371;0345370775;13
0312983271;0312980140;13
0553280341;0449221482;13
0345417623;0385504209;13
0441004520;0441005748;13
0440236673;0440225701;13
0316769487;0439064864;13
0440241073;0440225701;13
0451173317;0451160525;13
0515128546;051512317X;13
0440214041;0385504209;13
0375726403;0743418174;13
0425154092;0380718340;13
0425169863;0425163407;13
0671003755;0312278586;13
0060934417;0375726403;13
0441005748;0441004520;13
0671027360;0312195516;13
0515128554;051513287X;13
0451184963;0451167317;13
0316601950;0142001740;13
0140257934;0140254544;13
0440225701;0440224764;13
0345337662;059035342X;13
0440225701;0440236673;13
0805063897;0316666343;13
0440498058;0316666343;13
0440213525;0345378490;13
0375706771;0385484518;13
0399501487;0446310786;13
0446310786;0399501487;13
051512317X;0515128546;13
0440225701;0440241073;13
0385265700;0316601950;13
0441009239;0441010512;13
0316969443;0316666343;13
0441000916;0441005241;13
0441010512;0441009239;13
014028009X;067976402X;13
0452282152;0679781587;13
0385511612;0385504209;13
0786868716;0312278586;13
0441001971;0441005748;13
0345342968;0446310786;13
0312966091;0312265867;13
0671001795;0312983867;13
0345370775;0440211727;13
0553213164;0553213180;13
0842332251;0842329250;13
0385265700;0446672211;13
0312278586;0786868716;13
0449221512;0449221504;13
0385722206;0316666343;13
0439064864;0316769487;13
0440225701;0440220602;13
0440225701;044021145X;13
0440236673;0440221471;13
0385722206;0312305060;13
0441304834;0441004520;13
0440225701;0440221471;13
0842329285;0842329218;13
0449221482;0553280368;13
0553280368;0449221482;13
0312291639;0316666343;13
0441005241;0441000916;13
0440211727;0345370775;13
0375726403;0060934417;13
067976402X;0446310786;13
0684801523;0316769487;13
084232920X;0842329218;13
014028009X;0140298479;13
0375726403;0385504209;13
0060976845;0316601950;13
0312265867;0312966091;13
0312265867;0312966970;13
0670835382;0385199570;13
084233226X;0842329242;13
0684801523;0385504209;13
0553213180;0553213164;13
0140254544;0140257934;13
0316601950;0385265700;13
0446310786;043935806X;13
0449221504;0449221512;13
0451160525;0451173317;13
0449221504;0449219364;13
038079487X;0316666343;13
0449221504;0553279912;13
0345342968;059035342X;13
0345378490;0440213525;13
0140254544;0140265686;13
0385722206;0679781587;13
0375706771;0140293248;13
0312966091;0316666343;13
0440213525;0316666343;13
0441005748;0441001971;13
0312983867;0671001795;13
0312278586;0743418174;13
0449219364;0449221504;13
0060915544;0316666343;12
0440221471;0440241073;12
051513287X;0515128546;12
0345337662;0439064864;12
0553213180;0553213172;12
0451170385;0451167317;12
0375707972;068484477X;12
0345337662;044021145X;12
0671003755;0375726403;12
0425109720;0425116840;12
0375412824;0316666343;12
0060930535;0140293248;12
0375706771;0446672211;12
044022165X;0385504209;12
0552131059;0552131075;12
0316284955;0743418174;12
0671027360;0440241073;12
0452282829;0060928336;12
0446604801;0446606189;12
0060915544;0060921145;12
0449221512;0553279912;12
0553213172;0553213180;12
0312306326;0312265867;12
0345380371;0345353145;12
0060929871;0451524934;12
0451177096;0451176464;12
0452282829;0316666343;12
0671003755;059035342X;12
0688170528;0316666343;12
0451524934;0060929871;12
0385722206;0385504209;12
0804106304;0312195516;12
0553284789;0553279912;12
0060959037;0312195516;12
0804106304;0142001740;12
0060987561;0446672211;12
0446608815;0446606189;12
0316769487;0590353403;12
0671003755;0743418174;12
0552131075;0552131059;12
038550120X;0316666343;12
0451176464;0451167317;12
0440241073;044023722X;12
0440241073;0440234743;12
0451176464;0451177096;12
0440241073;0440221471;12
0552124753;0552131059;12
044023722X;0060928336;12
068484477X;0375707972;12
0671027360;0446672211;12
0609804138;0385504209;12
0439064872;0316666343;12
0449221504;0449219461;12
0316284955;0060928336;12
0449221504;0449221482;12
0425116840;0425109720;12
0515121843;0515128554;12
0312265867;0312306326;12
0380730138;0316601950;12
0446310786;0142001740;12
0451184963;0451172817;12
0060987103;0316769487;12
0312265867;0312976275;12
0449221504;0553279556;12
0316769487;0312195516;12
0446606189;0446604801;12
0316769487;0345342968;12
0060502258;0142001740;12
0380789019;0380789035;12
0441304834;0441003745;12
0441304834;0441002935;12
0743237188;0375727345;12
0446606189;0446608815;12
0060987103;0375706771;12
0345339681;0316666343;12
0590353403;0316769487;12
0380731851;0385504209;12
0380718340;0425158616;12
0671003755;0060976845;12
0515121843;0515128546;12
0449223604;0449219364;12
0440224764;044022165X;12
0449212602;0060928336;12
0451172817;0451184963;12
0515132020;0515136379;12
044023722X;0440241073;12
0552131059;0552124753;12
0385511612;0385508042;12
044023722X;0440220602;12
044023722X;0440214041;12
031242227X;0316666343;12
0316284955;067976402X;12
0451172817;0451167317;12
1573229326;0743418174;12
0385508042;0385511612;12
0440241073;0671027360;12
0061009059;0312195516;12
0671027360;043935806X;12
0425147622;0425158616;12
044022165X;0440224764;12
0060921145;0060915544;12
0312990456;0312976275;12
0515128554;0515121843;12
0440225701;0440214041;12
0446532231;0060392452;12
0380813815;0316666343;12
0515136379;0515132020;12
0385484518;0679781587;12
0140265686;0140270590;12
0375726403;0316096199;12
0441005241;0441005748;12
0345313151;0345318854;12
0312976275;0312990456;12
068484267X;0316666343;12
0812511816;0812517725;12
0553279556;0449221504;12
0140293248;0743418174;12
0312976275;0312265867;12
0140293248;0316666343;12
0440225701;0440234743;12
0345342968;0316769487;12
0670835382;0670839531;12
0440234743;0440241073;12
044651652X;0316666343;12
0684865742;0316666343;12
0375726403;0671003755;12
0345318854;0345313151;12
0553289411;0553280945;12
0446610038;0446608815;12
0670839531;0670835382;12
0451167317;0451176464;12
0440234743;0440225701;12
1400034779;0316666343;12
0156027321;0385722206;12
0449221482;0449221504;12
0670855030;0670868361;12
0140298479;0743418174;12
0451167317;0451170385;12
084233226X;0842329285;12
0316776963;0385504209;12
0440220602;0440234743;12
0440220602;044023722X;12
0553280341;0449219461;12
014029628X;0060928336;12
0440234743;0440220602;12
014029628X;0312195516;12
0140270590;0140265686;12
067976402X;0446672211;12
014028009X;059035342X;12
0385722206;0142001740;12
0441003745;0441304834;12
0441003745;0441005748;12
0375726403;0375727345;12
0440498058;0440487617;12
051513287X;0373244487;12
0441000916;0441005748;12
0449219461;0449221504;12
0380789035;0380789019;12
0440487617;0440498058;12
0446610038;0380718340;12
0553280945;0553289411;12
0440224675;0312924585;12
0140293248;0142001740;12
0449219461;0553280341;12
0385484518;0385504209;12
